F,GM,NVDA,ALB,QCOM
0.98566586,1.0090272,0.9896687,0.9745214,0.9801027
1.0085704,1.0228719,0.97927207,1.0255088,0.99864477
0.9845983,1.0034137,0.97351515,0.97018397,0.9974174
0.99353665,0.9947603,0.9873926,0.9740594,1.0123038
1.0099925,0.9916787,0.99897254,1.0058303,1.0111431
1.0029358,0.99270594,0.99527663,0.98678005,1.0175062
1.0004737,0.9967487,1.0044672,1.0157223,1.0105488
0.99589694,1.011939,0.9963127,0.9743013,1.0131793
0.9840407,1.0213815,1.0025365,0.97323054,0.97990155
0.98703593,1.0081263,1.0075467,1.0530318,0.9680138
1.0175202,1.0003972,1.0056465,0.9867361,0.99864674
1.0119065,0.99500424,1.0109886,1.073613,1.0139422
1.0289587,0.9851407,1.0170679,1.0017742,1.0009181
0.9924362,1.003755,0.9969301,1.019778,0.9993032
0.97752506,1.0026435,0.9858696,1.0131072,1.006489
0.99501204,0.994839,0.9843315,0.9891989,1.0213195
1.001636,0.98452157,1.0119756,1.0203094,1.005606
0.9936482,1.0022908,1.0120376,0.99732566,0.99496496
0.98770845,1.0055885,0.99430186,0.96985584,0.9818206
0.9929411,0.99094516,0.9902764,0.98004204,1.0026909
0.99089456,0.97005045,1.0061243,0.9938038,1.0379342
0.9809152,0.9933139,0.99778354,1.0104508,0.9991608
1.0045899,1.0126904,0.99237394,0.9918229,0.9928111
1.0074393,0.99141246,1.011998,0.9853081,0.9994105
1.012823,0.996778,1.0184567,1.0203776,1.0250138
0.9949632,1.0105569,0.9819422,1.0089424,1.0077584
0.99492633,0.9863822,1.013759,0.98013866,1.0199256
1.0314736,0.99559814,1.0340034,1.0286235,1.0239677
1.0055091,1.0240536,1.0036682,1.0046288,1.0130396
0.98224986,0.97365725,0.98851043,0.989023,0.9865711
1.0017693,0.908686,1.045757,1.0188401,1.0095905
0.9932049,0.98073936,1.0244639,1.0212923,1.0068473
0.9869191,0.9897249,0.9938706,0.9801198,0.99904233
1.0079894,0.9951236,1.0100254,1.0277526,1.0130274
0.9795687,0.9862026,0.9832938,0.99041855,0.9886888
0.9855691,0.9962438,0.98658365,0.9833415,0.99253607
1.0024579,0.98467946,1.0046257,0.97608775,1.0119922
1.0031915,0.9846424,1.0239725,1.0474908,1.0272633
0.9873565,1.0056481,1.0061685,0.9887102,0.98967534
0.98804617,1.0032614,0.98577774,0.9728989,0.9849769
1.0062478,1.0162389,0.99111056,1.0016755,0.9920887
1.0073524,0.9909135,0.9773545,1.00495,0.98894876
0.9996224,1.0087581,0.99420875,0.9836312,0.9967369
0.99029994,1.0290653,0.9856427,0.9809441,1.0055683
0.99729514,1.0092899,0.9782907,0.99783033,0.9948007
1.0151306,1.016106,1.0012431,0.98386264,1.0113771
1.0375177,1.0012573,1.0187172,0.992697,1.0377426
1.0008651,1.0083492,1.0101529,0.98883826,1.0163088
0.98328745,0.9963682,1.0250702,0.9946851,1.0083958
0.99793285,1.006928,1.0273075,1.0133678,1.0088183
0.9813876,1.0022469,1.0157197,1.0010656,1.009272
0.97354984,1.0148069,0.9837032,0.9936173,0.9947815
1.0072517,1.009735,0.9954154,1.0029693,0.99249417
1.0180317,1.0013473,1.0010185,1.0102279,0.9987259
1.001459,0.99074465,1.0004463,1.0045545,1.0006982
0.9941399,1.0045708,0.9988959,0.9992136,1.0043018
0.9921937,0.9822658,0.9903643,0.9981443,0.994667
0.98583925,0.9949376,0.9751897,0.985501,0.9744039
1.000491,1.0145423,0.96622765,1.0018429,0.9949963
1.0130341,0.99628425,0.9783619,0.9909716,1.0081508
1.0135854,0.9941896,0.97800535,0.98947006,0.9957889
0.99038965,0.99161845,0.98306024,1.0263901,0.9810963
0.9944422,0.9904745,1.0054291,0.9938559,0.98905796
0.99456453,1.0051723,0.9968161,0.99468565,0.99405175
0.9912598,1.0090474,1.0233624,0.9957548,1.0180148
0.9805214,1.0062593,1.0138005,0.98818284,0.99224824
0.99590933,0.9875641,1.0110233,0.9799856,0.9950727
0.9985131,0.99445456,1.0153248,0.9942317,0.99270016
0.9817996,1.0448037,1.0114704,1.0019027,0.9948682
0.99964464,1.0090071,0.99665976,1.0015502,0.99800116
1.0066669,0.98729604,0.9848329,1.0114639,0.9910239
0.9926165,0.9929423,0.99459904,1.0483668,0.99441135
1.0071807,0.99403495,0.9978192,0.9945164,1.0006578
0.9966453,1.0205847,1.002123,1.0113736,1.0179093
0.9904628,1.0074526,1.0006034,1.0022099,0.99911934
0.9934526,0.97496504,1.0037023,1.0121944,0.99816924
0.99048054,0.99765337,0.99165046,0.99983406,0.9974678
0.998454,0.99856573,0.9816005,1.000307,1.0067585
0.9929175,0.99389327,0.989089,0.9973085,0.9958094
0.98958933,1.0012257,0.99322736,0.9960515,0.9856602
0.9941239,1.0215745,1.001179,0.9994095,0.98943424
0.9978644,1.0023788,1.0082868,0.99580663,1.0116343
0.99760646,0.99580014,1.0127691,0.9948146,1.0087267
0.9920602,1.0036967,1.0093564,0.99501556,1.0089993
1.0052147,0.9887372,1.0072033,1.0139686,1.0092312
1.004371,0.9961307,0.9971644,1.0056863,0.99563324
0.9960744,0.9886764,1.0046058,1.0005486,0.99603117
0.99457866,0.99680966,1.0063999,1.0052849,1.0064915
1.0041044,1.0173184,1.0122901,1.0147073,1.0076733
0.99585176,1.0126307,0.99535567,0.99612767,0.9956012
1.0106902,0.9806554,1.0205734,0.9946053,1.0003023
1.006875,0.9596026,1.0355384,0.9914805,1.0077637
1.0128733,1.0013361,1.0434659,1.0165701,1.0171877
0.99962825,1.003101,1.0234487,0.9904229,1.0163227
1.0043466,1.0110332,1.0286587,0.9905871,1.0156736
1.0141836,1.0082086,1.0078913,0.9912052,0.9978782
1.0114477,1.0088621,1.0014013,0.9978298,0.99337816
1.0011715,1.0101784,0.9879179,1.0003085,1.0037261
0.9973925,1.0191239,0.9909532,0.96940523,0.99428415
0.991441,1.0129502,0.9816305,1.0104723,0.97843874
0.9915146,1.0009087,0.97799546,0.9940983,0.98569316
0.98384255,1.0022997,0.9768697,0.9908538,0.99353945
1.0002298,0.9905016,0.9808884,1.0026567,1.002422
1.0113604,0.994022,0.9925192,1.0027099,1.0111309
0.9975651,0.98771304,0.98553246,0.9901426,0.9905793
0.9990706,0.9911366,1.0000385,0.9952899,0.996104
1.0074677,0.9931471,0.99927914,0.9987992,1.0014375
0.99607146,0.97761405,0.9946444,0.9820501,1.0017965
0.99324775,0.9889391,1.0013373,0.9954041,1.0018713
1.0076216,1.0126475,1.0064644,0.9982674,1.0040433
1.0246557,1.022933,1.0091356,1.0195245,1.0059136
0.9991037,1.0269907,1.0152514,1.0218831,1.0057074
0.98516786,0.9929438,1.0115697,1.0003922,1.004258
1.0252106,0.99659187,1.0038432,0.99904376,0.98232937
1.0511358,0.9829647,0.9953571,0.99572,0.9702979
0.98143107,0.99269277,1.0046017,1.005359,1.0091604
0.97532034,1.019267,1.0092342,1.0019583,1.0051379
0.99769235,0.9801192,1.0005141,0.98783445,0.98661107
1.0084695,0.9997546,0.9947785,1.0290054,1.000783
0.99331033,0.9999068,0.9932178,0.9903706,1.0020854
0.9884041,1.0093435,0.9957875,0.9848355,0.9964687
0.99849194,1.0350671,0.9944348,1.0123316,0.9981175
0.9936024,1.0038674,0.9885932,0.99694765,1.0029691
1.0013646,1.0034977,0.9917865,0.951979,1.0069385
1.0106716,1.0116287,1.0002958,0.9847502,1.0074704
1.0214132,0.98660564,0.99609435,1.0253685,1.004876
1.0220284,0.99283314,0.98990804,1.0038582,0.99928886
0.9996007,1.0143324,0.9843878,0.983588,0.99715227
0.99903107,1.0196917,0.9899131,1.0106525,1.002957
0.9905589,1.006257,1.0053289,0.9919747,1.0046905
0.9919877,0.9848894,1.0232548,1.0108362,1.0020882
0.9793788,0.9965591,1.0034977,0.9929171,1.0020839
0.9890575,1.0253525,0.9962476,1.0039438,1.0025964
1.0125486,0.97415936,0.99519694,1.0076795,1.000239
1.0020825,0.9728139,0.9934852,1.0069925,1.0004257
0.98481995,0.9894793,0.9860054,0.98059916,0.9998028
0.97399306,0.9783649,0.98490226,0.99236643,0.9901386
0.99653745,0.931879,0.98982435,0.9988972,0.9813434
1.0098003,1.0010359,0.9878399,0.9991824,1.0059197
1.0311272,1.0015017,1.0000149,1.0067375,1.0148314
1.0214478,0.9941781,0.9956729,0.9924885,0.99791884
0.99464667,0.9904521,0.9919232,0.9976903,0.98896337
0.9939601,0.9845265,1.00836,1.001675,0.9959513
1.0108494,1.0060304,1.0175297,0.99152654,1.0092272
1.0152376,1.0213886,1.0061413,1.0052505,0.99795705
0.99472934,0.9988125,1.0024537,0.99208385,0.98776305
1.0015851,0.993366,1.0181797,0.987211,1.0037295
0.9886475,1.0128784,1.0226649,0.9936233,1.0011184
0.9880158,0.9972949,0.99948204,0.99219453,0.9805197
0.98482186,0.99283934,0.99556977,0.99263406,1.0047598
0.9894747,1.0078003,1.0058997,0.98546654,1.019173
0.9924348,1.0107015,1.0051665,0.99403375,0.99711
0.9794649,0.99328935,0.997567,0.98154145,1.0022365
0.98830736,0.9770932,1.004962,0.9901869,0.9975116
0.999255,0.9714604,1.0025256,1.0022792,1.005371
1.0257683,1.012423,0.99695826,0.99540997,1.0083866
1.0205445,0.9875891,0.9983495,1.0230535,1.0126584
1.0052626,0.9963547,1.0132966,1.0132899,1.0112901
0.9970495,0.97308725,1.0058638,1.0077267,0.9990008
0.9900804,0.99612886,0.9802532,1.0062,0.99516195
0.99405694,1.0481917,0.9871303,0.9899955,0.9944818
1.0237709,1.0208459,0.9953688,0.99022895,0.9970208
1.0108151,1.0202982,0.99238825,0.9842472,1.0033032
1.0038364,1.0168339,1.0118514,0.9976511,1.0079535
0.9887065,0.97786915,1.0151647,0.9950178,1.009042
0.98788106,0.9811787,1.0081197,1.0063796,1.0041947
1.025574,1.0154718,1.0273837,1.0326726,1.0195209
1.0153928,1.0133904,1.0621604,1.0151502,1.0503949
1.0001866,1.0098376,1.0377771,1.0139354,1.0351311
1.0106876,0.99288726,1.0110369,0.9999333,1.0072441
0.9846599,0.99577737,1.0276983,0.9941423,0.9964674
0.99530035,1.0213464,0.99143714,0.99258673,0.98652357
1.0139802,1.0322707,1.004312,1.0052341,1.0041131
1.0302626,1.008899,1.0189441,1.0079348,1.0047613
1.0065839,0.9643665,1.0090934,0.9922425,0.99101603
0.9941211,0.97763455,0.99116236,0.9850703,0.9941349
0.9891567,1.0012324,1.0321459,1.0195347,1.0108163
1.0086142,1.0100743,1.027022,1.0093197,1.0305227
0.93813473,1.007264,0.99093586,0.983155,1.0058658
0.9906524,1.0246943,1.0233988,1.0015328,1.0037515
0.9709531,0.9804349,1.0254627,1.0016994,0.99805456
0.98778075,0.97171867,0.9728238,0.99060947,0.9945066
0.99425334,0.9775294,0.97074276,0.97665995,0.99823004
1.0144069,1.002718,0.9859633,0.9586654,0.99059886
0.9864422,1.0002161,0.9996655,0.9928897,1.0021744
0.9841591,0.944142,0.9890179,1.0051355,0.9883924
0.9961201,0.99210835,0.97381353,0.9747525,0.9906197
